,Original,Summary,Sentiment
456,Bayar BPJS Kesehatan,Bayar BPJS Kesehatan,1
457,"udah langganan pake tokopedia untuk bayar bpjs, tv kabel, paket data sampe pulsa. cashback nya menarik bisa buat tambahan diskon .. Asyiiik! ^~^",cashback nya menarik bisa buat tambahan diskon .. Asyiiik!,1
458,Guampang banget mudah di gunakan ga ribet pelacakan pesanan jga enak banget apalaginyg instant bisa live di banding satunya hehheheh,Guampang banget mudah di gunakan ga ribet pelacakan pesanan jga enak banget apalaginyg instant bisa live di banding satunya hehheheh,1
459,"One stop online shopping, tingkatkan terus performa & inovasi utk pelanggan","One stop online shopping, tingkatkan terus performa & inovasi utk pelanggan",1
460,sangat memuaskan,sangat memuaskan,1
461,Terima kasih banyak,Terima kasih banyak,1
462,Belanja gak ribet lagi..semua ada,Belanja gak ribet lagi..semua ada,1
463,"Beberapa kali mengajukan komplain di Tokopedia tidak mendapatkan penanganan yang netral, lebih berpihak kepada seller dan upaya memberikan solusi kepada pembeli cenderung minim dan tidak ada fitur chat untuk diskusi interaktif","Beberapa kali mengajukan komplain di Tokopedia tidak mendapatkan penanganan yang netral, lebih berpihak kepada seller dan upaya memberikan solusi kepada pembeli cenderung minim dan tidak ada fitur chat untuk diskusi interaktif",-1
464,"segalanya jadi lebih mudah, simple, dan aman. dari awal pake tokped, ngerasa safe banget karena proses transaksi aman gitu deh!!",!,1
465,Cukup bagus dan lancar pengirimannya,Cukup bagus dan lancar pengirimannya,1
466,Sangat responsif dan ramah serta terpercaya dalam transaksi,Sangat responsif dan ramah serta terpercaya dalam transaksi,1
467,Selama ini belanja di Tokped tidak mengecewakan dan sesuai dgn deskripsi toko,Selama ini belanja di Tokped tidak mengecewakan dan sesuai dgn deskripsi toko,1
468,mantap banget gak mau ke olshop yang lain,mantap banget gak mau ke olshop yang lain,1
469,Sangat memudahkan dan kualitas barang & layanan terjamin.,Sangat memudahkan dan kualitas barang & layanan terjamin.,1
470,Pemakaian mudah,Pemakaian mudah,1
471,Barang,Barang,0
472,Puas Banget,Puas Banget,1
473,Bagus Toped. Tidak pernah mengecewakan,Tidak pernah mengecewakan,1
474,"Make a better, masih bisa lebih baik lagi","Make a better, masih bisa lebih baik lagi",1
475,Banyak biaya tambahannya. Selain itu oke.,Selain itu oke.,-1
476,Cukup puas walaupun pernah di kecewakan,Cukup puas walaupun pernah di kecewakan,1
477,Mantap lah pokoknya,Mantap lah pokoknya,1
478,"Makin lebih aneh dari shopee. Kurir tertentu sudah dinonaktifkan kok malah tetap aja dipakek! ! Ambigu. Kalo di shopee, kurir sudah dinonaktifkan maka otomatis tidak akan ada pesanan yang dialihkan ke kurir tsb. Beda dgn tokopedia, yg tidak konsisten.",Ambigu.,-1
479,Terima kasih Tokopedia,Terima kasih Tokopedia,1
480,Saya sebagai penjual danmpembeli selalu menggunakan tokopedia. Transaksi aman,Transaksi aman,1
481,Lumayan membantu,Lumayan membantu,1
482,Tingkatnya promo yg banyak terus amin,Tingkatnya promo yg banyak terus amin,1
483,Waaahhh puas bangeeettt!!!,!,1
484,Penasaran mau coba,Penasaran mau coba,0
485,Pembayaran dengan OVO points sangat membantu,Pembayaran dengan OVO points sangat membantu,1
486,Pelayanan cepat,Pelayanan cepat,1
487,Pemesanan2 berlangsung aman dan baik. Penanganan complain juga sangat baik.,Penanganan complain juga sangat baik.,1
488,"Bru tau ada fee jasa aplikasi,sebelumnya gada","Bru tau ada fee jasa aplikasi,sebelumnya gada",0
489,Mudah dan terpercaya,Mudah dan terpercaya,1
490,Baik,Baik,1
491,gw cari apa aja di tokped ada 👍,gw cari apa aja di tokped ada 👍,1
492,Top cari apa aja enak,Top cari apa aja enak,1
493,Mantap!,Mantap!,1
494,Sy suka dengan aplikasi tokopedia baramg yg do tawarkan lengkap,Sy suka dengan aplikasi tokopedia baramg yg do tawarkan lengkap,1
495,Sangat membantu tinggkat pelayanan dan pengaman bagi customer,Sangat membantu tinggkat pelayanan dan pengaman bagi customer,1
496,Metode pembayaran nya juara sih. Pake aja mudah dan cepat.,Pake aja mudah dan cepat.,1
497,"Suka belanja di sini, aplikasi ok","Suka belanja di sini, aplikasi ok",1
498,Terimakasih program ini sangat membantu😍,Terimakasih program ini sangat membantu😍,1
499,"sangat mudah transaksi di toped, layout aplikasinya juga enak.

terpercaya so pasti.",terpercaya so pasti.,1
500,Quick response dan kualitas barang sesuai foto,Quick response dan kualitas barang sesuai foto,1
501,Selalu belanja dan bayar tagihan disini. Byk bonus nya 👍👍,Byk bonus nya 👍👍,1
502,Sejak tahun 2019 saya pake aplikasi tokopedia aman dan nyaman,Sejak tahun 2019 saya pake aplikasi tokopedia aman dan nyaman,1
503,Simple dan Aman,Simple dan Aman,1
504,"System operasional Tokopedia sangat efektif, dan The Best 👍👍👍😘😘😘 Efficient mudah dipakai dan sangat adil. Thanks Tokopedia semakin Top di depan 🙏🙏🙏👍👍👍😍😍😍 Gak pakai aplikasi lain kecuali 1 saja Tokopedia 🙏🙏🙏",Thanks Tokopedia semakin Top di depan 🙏🙏🙏👍👍👍😍😍😍 Gak pakai aplikasi lain kecuali 1 saja Tokopedia 🙏🙏🙏,1
505,"Barang yang di beli semua sesuai display, kalaupun ada komplain, bisa respon dgn cepat oleh tokopedia sebagai penengah..ga salah sudah bertahun2 menjadi buyer disini👍🏻👍🏻top deh olshopnya☺️😊","Barang yang di beli semua sesuai display, kalaupun ada komplain, bisa respon dgn cepat oleh tokopedia sebagai penengah..ga salah sudah bertahun2 menjadi buyer disini👍🏻👍🏻top deh olshopnya☺️😊",1
506,Beli produk dari marketplace di tokopedia banyak varian dan lapak profesional,Beli produk dari marketplace di tokopedia banyak varian dan lapak profesional,1
507,Suka dengan aplikasi ini tp kecewa naik harga jasa layanannya,Suka dengan aplikasi ini tp kecewa naik harga jasa layanannya,-1
508,"pesanan sesuai, aplikasi yg memudahkan saya membeli segala keperluan","pesanan sesuai, aplikasi yg memudahkan saya membeli segala keperluan",1
509,Banyak informasi baruuuu dari tokopedia,Banyak informasi baruuuu dari tokopedia,1
510,Keren sekali,Keren sekali,1
511,App enakkkk mudah gak ribet,App enakkkk mudah gak ribet,1
512,Pesanan tiba tepat wktu,Pesanan tiba tepat wktu,1
513,Asiikk bgt belanja lake app tokopedia 👍🏼,Asiikk bgt belanja lake app tokopedia 👍🏼,1
514,Puas dengan sistim dan pelayanannya,Puas dengan sistim dan pelayanannya,1
515,"jual beli di tokopedia aman ,ngak pakai ribet deh","jual beli di tokopedia aman ,ngak pakai ribet deh",1
516,Aplikasi e-commerce yang sangat membantu kebutuhan saya dalam berbelanja...gud job,Aplikasi e-commerce yang sangat membantu kebutuhan saya dalam berbelanja...gud job,1
517,Cepat sekali jualah dsini.. thank tokped,Cepat sekali jualah dsini.. thank tokped,1
518,Sangat memuaskan dan tidak mengecewakan. Terus berikan yang terbaik TokoPedia,Terus berikan yang terbaik TokoPedia,1
519,Setiap beli online pasti pakai tokped,Setiap beli online pasti pakai tokped,1
520,Toko pedia memang oyeee,Toko pedia memang oyeee,1
521,toped ok bgt ada gratis ongkir lagi. terbantu bgt,terbantu bgt,1
522,"Sangat membantu, memudahkan dalam pembelian sesuatu","Sangat membantu, memudahkan dalam pembelian sesuatu",1
523,"Pertahankan kepraktisan, simpel cepat","Pertahankan kepraktisan, simpel cepat",1
524,service yang memuaskan,service yang memuaskan,1
525,adakan paylaternya,adakan paylaternya,0
526,Terima kasih tokopedia,Terima kasih tokopedia,1
527,Kalau bisa pembayaran melalui indomaret tidak ada batas maksimal,Kalau bisa pembayaran melalui indomaret tidak ada batas maksimal,-1
528,Sangat terbantu dengan aplikasi ini,Sangat terbantu dengan aplikasi ini,1
529,Mantab lah tokped,Mantab lah tokped,1
530,Sangat memuaskan,Sangat memuaskan,1
531,aplikasi yg sangat membantu,aplikasi yg sangat membantu,1
532,Sangat berguna. Karena aku lebih senang belanja daring daripada ke toko biasa.,Karena aku lebih senang belanja daring daripada ke toko biasa.,1
533,Gratis ongkir dulu 0 rupiah sekarang tetap ada biaya,Gratis ongkir dulu 0 rupiah sekarang tetap ada biaya,-1
534,"Notifikasi di ios terbaru terakumulasi, setelah app dibuka notifikasi hilang, tpi nnti muncul lagi malah bertambah jumlahnya kalau ad notif baru muncul","Notifikasi di ios terbaru terakumulasi, setelah app dibuka notifikasi hilang, tpi nnti muncul lagi malah bertambah jumlahnya kalau ad notif baru muncul",-1
535,Bagus dan mudah banget,Bagus dan mudah banget,1
536,Msih nyaman,Msih nyaman,1
537,"Setelah diupdate kenapa sering crash ya?terutama klo akses tokopedia now,begitu masuk ke kategori,lsg otomatis ketutup sendiri app nya.Mohon diperbaiki.Fyi,sy sdh pake ios plg update","Setelah diupdate kenapa sering crash ya?terutama klo akses tokopedia now,begitu masuk ke kategori,lsg otomatis ketutup sendiri app nya.Mohon diperbaiki.Fyi,sy sdh pake ios plg update",-1
538,Banyak promo gratis ongkir,Banyak promo gratis ongkir,1
