,Original,Summary
7087,mantul,mantul
7088,Anj kau bab1 penipu as0 duit kirim 42rb balek 38rb org ngk bank suruh cair bank apk asu,Anj kau bab1 penipu as0 duit kirim 42rb balek 38rb org ngk bank suruh cair bank apk asu
7089,good,good
7090,semoga lancar jaya ,semoga lancar jaya 
7091,Rugi banget transaksi Tokopedia  Tukar hp dibatalkan kurir laku6  kena denda Tokopedia Rp 155519 merugikan pembeli  mending belanja SHOPEE BLIBLI LAZADA  belanja TOKOPEDIA RUGINYA,Rugi banget transaksi Tokopedia  Tukar hp dibatalkan kurir laku6  kena denda Tokopedia Rp 155519 merugikan pembeli  mending belanja SHOPEE BLIBLI LAZADA  belanja TOKOPEDIA RUGINYA
7092,Enak  Nya pas ,Nya pas 
7093,beli reksa dana Tokopedia  3 proses  masuk saldonya  penipuan,beli reksa dana Tokopedia  3 proses  masuk saldonya  penipuan
7094,,
7095,serba  pemeriksaan saldo penjualan dr pagi ampe sore ga kelar kelar,serba  pemeriksaan saldo penjualan dr pagi ampe sore ga kelar kelar
7096,Lu kalo ga niat giveaway ya ga kocak  kasian laen  Pembayaran pake bankgopayovo doang  gopay nya bug mulu ,Pembayaran pake bankgopayovo doang 
7097,tingkatkan trus metode pembayaran COD promo2 menarik,tingkatkan trus metode pembayaran COD promo2 menarik
7098,bagus,bagus
7099,tokped jelek anjir  bagus banget maaf pindah aja si Oren ,tokped jelek anjir  bagus banget maaf pindah aja si Oren 
7100,DANA 10JUTA TAHAN TOKOPEDIA 1MINGGU CAIR HALOOOOOO UANGNYA MUTER LAGIIIIIII      ,
7101,mudah n praktis  tks toped,mudah n praktis  tks toped
7102,bagus,bagus
7103,Mantab    Membantu,Membantu
7104,brg ampir seminggu gk dikirim  dibatalin nunggu persetujuan penjual          brg sy aja kmaren ilang  pake next day sampe 34  mending gk next day kalo sampe nya 34 sy rugi bayar mahal next day gk yg sampe besok nya  member platinum pakai tokped ruginya     ,
7105,jossss,jossss
7106,sukses fitur y,sukses fitur y
7107,bintang 1 ya  sertifikat prakerja tokopedia buabg badan nyuruh hubungi prakerja  nanya prakerja nyuruh nanya tokopedia  gag beres  sertifikat muncul dashboard seminggu ,gag beres  sertifikat muncul dashboard seminggu 
7108,Pengiriman tergolong Deket paket yg dibeli  Makka nya sediain fitur instan 2 jam sampe  pilih pengiriman next day berharihari ngirim nya  kaya nya gmna sih alur sistem nya gajelas bngt mah cocok bintang 1 tokep,pilih pengiriman next day berharihari ngirim nya  kaya nya gmna sih alur sistem nya gajelas bngt mah cocok bintang 1 tokep
7109,mantaaaaaap,mantaaaaaap
7110,,
7111,bnyk promo,bnyk promo
7112,mengulur pengiriman estimasi,mengulur pengiriman estimasi
7113,belanja tokped lbh mudah,belanja tokped lbh mudah
7114,Tokopedia slalu dihati,Tokopedia slalu dihati
7115,Mengjengkelkan,Mengjengkelkan
7116,mantab,mantab
7117,mudah  cepat,mudah  cepat
7118,gratis ongkir 40rbkg minimal belanja 20rb jawa  sy yg sumatra mahal ongkirnya  Udah gitu ya gk cash back  Sekarng beralih si kuning  pelit 1 orang yg berkuasa tokped yg menghancurkan tokped sndiri  pelanggan yg lari meninggalkannya,sy yg sumatra mahal ongkirnya 
7119,Order barang toped Pke jasa kurir sicepat tp lelet minggu barang blm  depok jakarta timur blm tuh barang,Order barang toped Pke jasa kurir sicepat tp lelet minggu barang blm  depok jakarta timur blm tuh barang
7120,Tokopedia pelit  ongkir mahal,Tokopedia pelit  ongkir mahal
7121,mantab,mantab
7122,Aplikasi nya aneh ajukan komplain barang  force close upload bukti video,force close upload bukti video
7123,bress,bress
7124,Buruk pengiriman nya bangett ga pake lgi tokopedia klo masi pake jasa si lelet   ,Buruk pengiriman nya bangett ga pake lgi tokopedia klo masi pake jasa si lelet   
7125,promonya,promonya
7126,good,good
7127,tokopedia mudah belanja,tokopedia mudah belanja
7128,Tolong penjual wajib video sblm packing  jgn pembeli yg wajibkan bikin video unboxing  barang bermasalah hrs menunjukan video unboxing  adil  pembeli yg repotkan video unboxing   khusus penjual yg mewajibkan video unboxing pembeli mengajukan komplain ,Tolong penjual wajib video sblm packing  jgn pembeli yg wajibkan bikin video unboxing  barang bermasalah hrs menunjukan video unboxing  adil  pembeli yg repotkan video unboxing   khusus penjual yg mewajibkan video unboxing pembeli mengajukan komplain 
7129,borahae tokopedia,borahae tokopedia
7130,good job,good job
7131,,
7132,Gratis ongkirnya skarang 20rb  kesini pelit aja gratis ongkirnya  pengen beralih aplikasi yg  balikin gratis ongkirnya 40rb biar pengguna tokped gak beralih aplikasi yg,Gratis ongkirnya skarang 20rb  kesini pelit aja gratis ongkirnya  pengen beralih aplikasi yg  balikin gratis ongkirnya 40rb biar pengguna tokped gak beralih aplikasi yg
7133,ok,ok
7134,bagus banget dah,bagus banget dah
7135,komplain ditokopedia  kaya org gila nungguin return  kalo penjual merespon  baiknya pake ,kalo penjual merespon  baiknya pake 
7136,sun God nika,sun God nika
7137,pemesanan tiba2 batalkan sistem  sebeb akun bekukan pantes saham tokopedia anjlok semoga bangkrut,pemesanan tiba2 batalkan sistem  sebeb akun bekukan pantes saham tokopedia anjlok semoga bangkrut
7138,tokopedia dihpku kek berat banget aplikasi sebelah gitu,tokopedia dihpku kek berat banget aplikasi sebelah gitu
7139,beli mudah  kemana  ,beli mudah  kemana  
7140,peserta prakerja beli kelas pelatihan skill academy via Tokopedia proses verifikasi sertifikat nya  pencairan insentif nunggu  mending via Bukalapak gerak cepat  Emang perusahaan apk asuu tenan,Emang perusahaan apk asuu tenan
7141,good,good
7142,Stop belanja  belanja online terkenal murah toko offline  harga seimbang toko offline pakai cashbackfree ongkir bersamaan,Stop belanja  belanja online terkenal murah toko offline  harga seimbang toko offline pakai cashbackfree ongkir bersamaan
7143,Produk pengguna dibeli udh bayar  ditarik uang gabisa  Makannya pegawai tokped cepet kaya  Semoga berkah ,Makannya pegawai tokped cepet kaya 
7144,nice,nice
7145,membantu,membantu
7146,mantull ,mantull 
7147,thx tokoed mantul,thx tokoed mantul
7148,tokopedia emang jagonya,tokopedia emang jagonya
7149,membantu,membantu
7150,mantap,mantap
7151,pembayaran COD niscaya engkau Jaya  Insya Allah ,pembayaran COD niscaya engkau Jaya  Insya Allah 
7152,nmm,nmm
7153,bagus,bagus
7154,Gopay later dikasih pilihan bayar deadline nya  takut keburu pake duitnya  Kalo udh dibayar cepet enak  Gimana si nunggu mendekati deadline bgt bayar ,Kalo udh dibayar cepet enak 
7155,suka,suka
7156,LOGINNYA GA PAKE NO HP AJG  GA BGT DIKAITIN EMAIL  UBAH NO HP TOLAK BABI  PIN GOPAY SALAH MULU COK ANJ,UBAH NO HP TOLAK BABI 
7157,,
7158,Good,Good
7159,kredivo membantudan melayani konsumen dgn ,kredivo membantudan melayani konsumen dgn 
7160,membantu,membantu
7161,login berhasil  ganti nomer terverifikasi  tp suruh login verifikasi nomor hp   belanja males suruh login verifikasi no hp,belanja males suruh login verifikasi no hp
7162,good,good
7163,mudah,mudah
7164,mantap min,mantap min
7165,gud,gud
7166,mantap,mantap
7167,Penipu 28 juta,Penipu 28 juta
7168,baguss,baguss
7169,Appnya keren  kasih masukan  bikin pengaturan akun memblockblack list kurir  pilihan kurir belanja  kurir block muncul pilihan  Trims,Trims
7170,ancur update aplikasi Penjualan menurun,ancur update aplikasi Penjualan menurun
7171,mantap,mantap
7172,tiba2 batalkan transfer  kocakkk,tiba2 batalkan transfer  kocakkk
7173,Penjual penipu,Penjual penipu
7174,bug,bug
7175,mantap cepat hemat,mantap cepat hemat
7176,toko pedia rekomendasi,toko pedia rekomendasi
7177,nya sya pergi toko Oren si ijo udh gak kaya bay,nya sya pergi toko Oren si ijo udh gak kaya bay
7178,bagus,bagus
7179,good shoping,good shoping
7180,susah banget nyari voucher  pelanggaran belanja  co bayar batalkan jdi sebel,susah banget nyari voucher  pelanggaran belanja  co bayar batalkan jdi sebel
7181,ok,ok
7182,Udah bayar d batalkan tokopedia otomatis kehilangan uang admin  ditambah ² ribet ,Udah bayar d batalkan tokopedia otomatis kehilangan uang admin  ditambah ² ribet 
7183,memasukkan data utk gopaylater tp gak acc  ok  gak pakai tokopedia  shopee ,shopee 
7184,Top,Top
7185,nice,nice
7186,mantab,mantab
7187,seru keuntungan,seru keuntungan
7188,pembayaran suka eror halamannya ,pembayaran suka eror halamannya 
7189,mantap,mantap
7190,mantappp tokopedia,mantappp tokopedia
7191,respon cepat,respon cepat
7192,Suka Banget Tokopedia,Suka Banget Tokopedia
7193,Oke,Oke
7194,aplikasi tokopedia ribet jasa pengiriman nya lemot parah ,aplikasi tokopedia ribet jasa pengiriman nya lemot parah 
7195,secepat kilat tokennya ,secepat kilat tokennya 
7196,No good,No good
7197,cakep,cakep
7198,Aplikasi anjeng  Verifikasi gagal tross,Verifikasi gagal tross
7199,mantap,mantap
7200,ERROR,ERROR
7201,suka ya aplikasi yg cesbek ya,suka ya aplikasi yg cesbek ya
7202,Tolong perbaiki  tampilan gambar muncullama  lihat produk tampil gambarnya  snpdragon 888,Tolong perbaiki  tampilan gambar muncullama  lihat produk tampil gambarnya  snpdragon 888
7203,Mohon maaf uninstal  enak Shope LAZADA harga barangnya murah ongkirnya murah voucher2 gratis potongan harga yg beli  Udah gitu tokopedia gk Paylater Shope lazada yg limit belanja  mohon maaf aplikasi buang gk pake ,Udah gitu tokopedia gk Paylater Shope lazada yg limit belanja 
7204,Gambar lucu gemoy,Gambar lucu gemoy
7205,,
7206,pelayanan cepat,pelayanan cepat
7207,bagus  tolong ya barangnya yg pesan ORI kw  beli power Bank,tolong ya barangnya yg pesan ORI kw  beli power Bank
7208,kali pakai  praktis,kali pakai  praktis
7209,mudah membantu,mudah membantu
7210,sukses,sukses
7211,,
7212,Tokopedia care meresponparah,Tokopedia care meresponparah
7213,membantu,membantu
7214,belanja online mending Tokopedia Barangnya asli no tipu2,belanja online mending Tokopedia Barangnya asli no tipu2
7215,Good,Good
7216,Oke,Oke
7217,terpercaya toko sebelah ,terpercaya toko sebelah 
7218,promo apus apus  ujung ujungnya dibatalkan  rugi,rugi
7219,very goodd,very goodd
7220,Aplikasi  Berguna seller ,Aplikasi  Berguna seller 
7221,berharap penambahan fitur penilaiaan jasa pengiriman ,berharap penambahan fitur penilaiaan jasa pengiriman 
7222,menbatu trims,menbatu trims
7223,biaya layanan 1000  ekspedisi rekomendasi dilempar ekspedisi  paket gak nyampe nyampe mbulet titik  Woii bos Tokopedia tidur tuh diurus i mitra ekspedisinya ruwet,paket gak nyampe nyampe mbulet titik 
7224,update mlh ga  kurir jln nya,update mlh ga  kurir jln nya
7225,Ya gratis ongkir  sayang harga gak COD orang ragu blanja online gak rekening memilih uninstil sayang banget sih,Ya gratis ongkir  sayang harga gak COD orang ragu blanja online gak rekening memilih uninstil sayang banget sih
7226,Good,Good
7227,good job,good job
7228, binggung, binggung
7229,guud,guud
7230,goodddd,goodddd
7231,Bagus,Bagus
7232,okk good ,okk good 
7233,tokopedia online shop terbaik,tokopedia online shop terbaik
7234,The best,The best
7235,uwuu,uwuu
7236,oke mantap,oke mantap
7237,mantap,mantap
7238,tokopedia diskon nya ,tokopedia diskon nya 
7239,Admin membantu maksa forum diskusi,Admin membantu maksa forum diskusi
7240,lbh promonya toko sebelah,lbh promonya toko sebelah
7241,Tokopedia sy nya tdk update berkali2 update ga  sy uninstal tp sy uninstal  ya begt  Tlg respon nya Min ,sy uninstal tp sy uninstal 
7242,good game,good game
7243,mntaf,mntaf
7244,Ok,Ok
7245,Harga banderol barangnya murah2  checkout tambahan tariff,Harga banderol barangnya murah2  checkout tambahan tariff
7246,Gila ongkirnya daerah luas pulau jawa ksini mahal ,Gila ongkirnya daerah luas pulau jawa ksini mahal 
7247,Mohon kurir si cepat ditiadakan pengiriman estimasi  Barang gudang sortir 2 dikirim alamat  mengecewakan Tokopedia bertindak Si Cepat  yg memakai Shope Tokopedia  pengirimannya LAMBAT ,pengirimannya LAMBAT 
7248,Good Job Tokopedia,Good Job Tokopedia
7249,good ,good 
7250,Tolong tinjau ekspedisi  antarsaja   gak dipake  udah buyer komplain dirugikan paket holdtidak dikirim berakibat merugikan  Mohon putus kerjasamanya sanggup  Terimakasih,Mohon putus kerjasamanya sanggup 
7251,kesini Tokopedia pakai kurir jelek bgt  Bilang  Terima  Lamalama ga instal Tokopedia  Kurirnya rating jelek,Lamalama ga instal Tokopedia 
7252,Ongkirnya mengotak,Ongkirnya mengotak
7253,ga bs login trus text ygslalu pas login program shake shake gtu ,ga bs login trus text ygslalu pas login program shake shake gtu 
7254,mantaps prosesnya cepat,mantaps prosesnya cepat
7255,Nama nya ganti tokomalingpedia mencuri gopay pelanggan transaksi gagal gopay kembalikan,Nama nya ganti tokomalingpedia mencuri gopay pelanggan transaksi gagal gopay kembalikan
7256,Ok,Ok
7257,Belanja jdi mudah membalik telapak tangan,Belanja jdi mudah membalik telapak tangan
7258,Ok,Ok
7259,Nj,Nj
7260,Update  berat  patah patahnya banget  kaya toko sebelah  Bikin ringan ,Bikin ringan 
7261,Telat update pengiriman  ga kayak tokopedia,Telat update pengiriman  ga kayak tokopedia
7262,nanya ,nanya 
7263,ok bagus,ok bagus
7264,Baddd shopppppp pengguna promo indomie 5pcs bayar 1ribu Pas udah top up bayar briva eh tiba2 gagal Alasan batalkan karna kecurangan Kecurangan  orang akun pengguna  dapet promo segitu Yah emang bener mending si oren biru,Baddd shopppppp pengguna promo indomie 5pcs bayar 1ribu Pas udah top up bayar briva eh tiba2 gagal Alasan batalkan karna kecurangan Kecurangan  orang akun pengguna  dapet promo segitu Yah emang bener mending si oren biru
7265,Aplikasi yg udah miskin   free ongkir pulau skr minbel 50ribu max 20ribu aja  udah gk cashback cuma2  Aplikasi yg ditinggal pembeli GK  YA KALI BELI 100RB DPT FREE ONG PULAU  UDAH KALAAAH MARKET PLACE SEBELAH NIH  BAD   ,YA KALI BELI 100RB DPT FREE ONG PULAU 
7266,gk percaya mending pake  sdh 2 kali transaksi gagal uang nya gk ,gk percaya mending pake  sdh 2 kali transaksi gagal uang nya gk 
7267,semoga lbh,semoga lbh
7268,top,top
7269,goood,goood
7270,promo  Event Kebut  panen telur hadiahnya bagus  vocer cashback gratis ongkir digabung  urusan promo  ecommerce oren dah menarik ,urusan promo  ecommerce oren dah menarik 
7271,Tolong developer aplikasi tokopedia  notifikasi spamnya kurangin mengganggu gak,Tolong developer aplikasi tokopedia  notifikasi spamnya kurangin mengganggu gak
7272,uang ditransfer batalkan karna melanggar coba kagak banget ni bngst,uang ditransfer batalkan karna melanggar coba kagak banget ni bngst
7273,pelayanan tokped memuaskan,pelayanan tokped memuaskan
7274,Akun tiba2 terkendala login,Akun tiba2 terkendala login
7275,membantu trimakasih TokPed,membantu trimakasih TokPed
7276,Balikin wooy duit orang 287jt  kabur aja tanggung,Balikin wooy duit orang 287jt  kabur aja tanggung
7277,Aplikasi berat android  scroll barang2 serasa main game pubgm set ultra  panas lag  Tolong perbaiki,Tolong perbaiki
7278,mantap,mantap
7279,mantap,mantap
7280,membantu,membantu
7281, kak u menu transfer bank tokopedia bgmna ya , kak u menu transfer bank tokopedia bgmna ya 
7282,GK PESEN TAS COD BATAL OTOMATIS TAKUT GK BAYAR COD GW BAYAR GW UMUR 14 BOCIL  APLIKASI KGK UNISTAL AJA ,APLIKASI KGK UNISTAL AJA 
7283,mantap,mantap
7284,Aplikasi ndak masuk akal   ntah sistem nya gmn  suami istri 1 rumah akun masing2 hp   alasan kesamaan data kesamaan alamat rumah   data konfirmasi tc nya   akun nuyul akun  akun pribadi  wes pindah sebelah,Aplikasi ndak masuk akal   ntah sistem nya gmn  suami istri 1 rumah akun masing2 hp   alasan kesamaan data kesamaan alamat rumah   data konfirmasi tc nya   akun nuyul akun  akun pribadi  wes pindah sebelah
7285,kalo bintang kasih  download aplikasi  barang onlinenya rijekan  payah ,kalo bintang kasih  download aplikasi  barang onlinenya rijekan  payah 
7286,Mantap dah,Mantap dah
7287,Aplikasi buruk  Saldo Hilang gak tanggung ,Aplikasi buruk  Saldo Hilang gak tanggung 
7288,terima kasih layanan toko pedia ,terima kasih layanan toko pedia 
7289,mantap,mantap
7290,ya  beli ya  uninstal Link bantuan hrs dibuka  ksh link GK bantuan ,ya  beli ya  uninstal Link bantuan hrs dibuka  ksh link GK bantuan 
7291,bug disistem member,bug disistem member
7292,Parah  ,Parah  
7293,bergabung  moga lancar ,bergabung  moga lancar 
7294,toped gratis ongkir nya 20ribu  gak free ongkir 40 ribu ,toped gratis ongkir nya 20ribu  gak free ongkir 40 ribu 
7295,mantap,mantap
7296,sangt bermanfaat,sangt bermanfaat
7297,sekian tahan kecewa karna update yg superrrrrrrr buruk pindah Toko hijau orange yg pelayanan harga ongkir yg masuk akal  selamat ya toped update aplikasinya yg super duper buruk  wajar kalo sampe gulung tikar lu,sekian tahan kecewa karna update yg superrrrrrrr buruk pindah Toko hijau orange yg pelayanan harga ongkir yg masuk akal  selamat ya toped update aplikasinya yg super duper buruk  wajar kalo sampe gulung tikar lu
7298,Aplikasi ecomerce BOBROK TOKETPEDIA ,Aplikasi ecomerce BOBROK TOKETPEDIA 
7299,Tolong pembayaran via dana,Tolong pembayaran via dana
7300,Nyobanyoba download tokopedia  trs nyoba beli  kali beli aplikasi  KUAPOOOOKKKKK  pesanan ga sampaisampai  ga tau  ga nomor chat kurirnya  pdhl diketerangan paket dikirim alamat penerima  ga nyampenyampe  dh nyampe uang udah dikembalikan  hapussssss aplikasi  Ga disaranin dehh pake marketplace ,ga nomor chat kurirnya  pdhl diketerangan paket dikirim alamat penerima  ga nyampenyampe 
7301,Udah males  kurir instan yg spt nya ga ambil barang toped  buktinya sy pesan instant yg ganti2  pesanan terlambat ,Udah males  kurir instan yg spt nya ga ambil barang toped  buktinya sy pesan instant yg ganti2  pesanan terlambat 
7302,ga kek,ga kek
7303,Ribet,Ribet
7304,semenjak tokopedia pop up iklan   ayo aplikasi bagus pop up iklan  aplikasi penjualnya dipercaya  TOLONG HILANGKAN POP UP ADSENSE WEBSITE MENGURANGI KEPERCAYAAN PENGGUNA APLIKASI  TURUNKAN DERAJAT POP UP ADSENSE PERCAYALAH APLIKASI SEBELAH KONSISTEN APLIKASI KONSUMEN  PEDAGANG PEMBELI ,ayo aplikasi bagus pop up iklan  aplikasi penjualnya dipercaya 
7305,terimakasih tokopedia ,terimakasih tokopedia 
7306,Peroses pengembalian uang salah sangka sayah Ama aplikasi,Peroses pengembalian uang salah sangka sayah Ama aplikasi
7307,bagus,bagus
7308,aplikasi baguss,aplikasi baguss
7309,good,good
7310,terimakasih,terimakasih
7311,bermanfaat,bermanfaat
7312,Yes Ok Top,Yes Ok Top
7313,tokopedia gaseru  cashback nya udah gabisa disatuin gratis ongkir Udah gitu event voucher cashback nya udah,tokopedia gaseru  cashback nya udah gabisa disatuin gratis ongkir Udah gitu event voucher cashback nya udah
7314,bagus,bagus
7315,Pelayanan maksimal    bl pulsa duit berkurang tp pulsa blm masuk katae dana blm    gpp ikhlas kehilangan dwt nya    trm kasih sdh dibantu,Pelayanan maksimal    bl pulsa duit berkurang tp pulsa blm masuk katae dana blm    gpp ikhlas kehilangan dwt nya    trm kasih sdh dibantu
7316,Tolong pengiriman pake AnterAja lion parcel  lamaaaaaaa nya kalo pake si cepat jne 2 sampe  udh 8 paket gk sampe  bikin emosi  kayak gada pengiriman aja ,Tolong pengiriman pake AnterAja lion parcel  lamaaaaaaa nya kalo pake si cepat jne 2 sampe  udh 8 paket gk sampe  bikin emosi  kayak gada pengiriman aja 
7317,puas dg brang dr toko pedia amanah,puas dg brang dr toko pedia amanah
7318,Ok mantap,Ok mantap
7319,mantap,mantap
7320,Oke mas,Oke mas
7321,produk toko pilihan harga bersaing,produk toko pilihan harga bersaing
7322,Min pengiriman rekomendasi bikin lelet  Barang oper bkannya cpt mlah,Barang oper bkannya cpt mlah
7323,Gk beli akun ff,Gk beli akun ff
7324,Ap nya bagus blanja online,Ap nya bagus blanja online
7325,iklan yg tampil mengganggu mengoperasionalkan Tokopedia,iklan yg tampil mengganggu mengoperasionalkan Tokopedia
7326,promo Tokopedia Gratis Ongkir  pakai 2 promo  wish list dikasih batasan,wish list dikasih batasan
7327,Gak cod  hoax,Gak cod  hoax
7328,mantap,mantap
7329,bagus,bagus
7330,Ongkir potong expedisi tarifnya mahal  gk support COD   dah gk ky nih tokped  kecewa  jd gk belanja tokped  maaf ,Ongkir potong expedisi tarifnya mahal  gk support COD   dah gk ky nih tokped  kecewa  jd gk belanja tokped  maaf 
7331,Susah nganjukan complenan ampun dah ,Susah nganjukan complenan ampun dah 
7332,login  balas WA masukkan PIN,balas WA masukkan PIN
7333,perbanyak promonya,perbanyak promonya
7334,tokopedia belanja bagus jarang pake tokopedia  belanja diatas 50000 gratis ongkir pilih pengiriman kena 15000 males belanja,tokopedia belanja bagus jarang pake tokopedia  belanja diatas 50000 gratis ongkir pilih pengiriman kena 15000 males belanja
7335,mantab sukses,mantab sukses
7336,Keren,Keren
7337,Pengajuan Tokopedia Card ditolak menolak belanja tokopedia,Pengajuan Tokopedia Card ditolak menolak belanja tokopedia
7338,Suka bangattt,Suka bangattt
7339,Parah banget Tokped  Subsidi Ongkir DT aja  kecewa sedih sih ga kirim kirim barang kampung ,Parah banget Tokped  Subsidi Ongkir DT aja  kecewa sedih sih ga kirim kirim barang kampung 
7340,Aplikasi lemot  error  HP ram 12 aja,HP ram 12 aja
7341,bagus,bagus
7342,So,So
7343,Scaming,Scaming
7344,aplikasi tokopedia ngeheng,aplikasi tokopedia ngeheng
7345,okkkkkk,okkkkkk
7346,Pelayanan buruk  pesanan tibatiba dibatalkan,Pelayanan buruk  pesanan tibatiba dibatalkan
7347,pelayanan buruk merugikan costumer  orderan retur uang camn 10  dg alasan penerima tdjmk hubungi dn bla bla bla  nyesel bgt paki aplikasi,pelayanan buruk merugikan costumer  orderan retur uang camn 10  dg alasan penerima tdjmk hubungi dn bla bla bla  nyesel bgt paki aplikasi
7348,Penanganan team tokopedia care dipusat resolusi buruk  skrg 1 komplain selesai   tokopedia berpihak penjual  pembeli dirugikan  penjual yg dibela2  mengalami  pantesan org2 memilih lazada shopee,Penanganan team tokopedia care dipusat resolusi buruk  skrg 1 komplain selesai   tokopedia berpihak penjual  pembeli dirugikan  penjual yg dibela2  mengalami  pantesan org2 memilih lazada shopee
7349,Sumpahla TOKOPEDIA ngeri potongan ongkir 20ribu aja  mahal ongkir barang dibeli  gak karna GO APOTIK gak pake,mahal ongkir barang dibeli 
7350,lemot,lemot
7351,Evaluasi pilihan gratis ongkir kurir dipilih oren  yg hemat  eco  reguler  beli  gak taunya eco parahnya seller gak setuju cancel jg  hati2 ped  roda berputar,beli  gak taunya eco parahnya seller gak setuju cancel jg 
7352,mantap,mantap
7353,Kecewa parah sih pesanan batalkan alasan  ditambah saldo refund gua belom terkirim dri kemarin sampe ,Kecewa parah sih pesanan batalkan alasan  ditambah saldo refund gua belom terkirim dri kemarin sampe 
7354,Puas belanja tokopedia  tampilannya simple gak ribet  Banyakin donk promo cash back Gopaynya ,Banyakin donk promo cash back Gopaynya 
7355,Top jossssss,Top jossssss
7356,kecewa banget Tokopedia affiliate  syarat  ketentuannya poin D merugikan akun  Komisi affiliate masuk  capek capek mengiklankan link hasil  penjelasan point memenuhi syarat  cstoped gambaran spesifik detail  kejadian kecewa Tokopedia ,Komisi affiliate masuk  capek capek mengiklankan link hasil 
7357,bagus gratis casbacknya,bagus gratis casbacknya
7358,Coba,Coba
7359,bermanfaat,bermanfaat
7360,Bug isi pulsa parah banget,Bug isi pulsa parah banget
7361,top emang tokopedia,top emang tokopedia
7362,terbaik,terbaik
7363,Dana dikembalikan   ,
7364,Ganti deh bintang nya pesan earphone barang rusak banget proses nya ga kaya toko sebelah mengutamakan konsumen Tokopedia mengutamakan penjual,Ganti deh bintang nya pesan earphone barang rusak banget proses nya ga kaya toko sebelah mengutamakan konsumen Tokopedia mengutamakan penjual
7365,ga asuransi wajib  pilihan customer  perampokan,ga asuransi wajib  pilihan customer  perampokan
7366,kebijakan yg hilang bertahun2 belanja ditokopedia bebas ongkir  tulisannya aja bebas ongkir 815x kenyataan belanja 1x aja mikir berkalikali aplikasi sebelah jarang pakai bebas ongkir 0 rupiah tokopedia belanja sirna kebijakan yg,kebijakan yg hilang bertahun2 belanja ditokopedia bebas ongkir  tulisannya aja bebas ongkir 815x kenyataan belanja 1x aja mikir berkalikali aplikasi sebelah jarang pakai bebas ongkir 0 rupiah tokopedia belanja sirna kebijakan yg
7367,kalo permudah  dipersulit ,kalo permudah  dipersulit 
7368,user interface ditingkatkan lg,user interface ditingkatkan lg
7369,males bikin ulasan belanja Tokopedia  lambat upload foto   video  Ngabisin  ,lambat upload foto   video 
7370,puas berbelanja ditokopedia,puas berbelanja ditokopedia
7371,Hmmm bagus si,Hmmm bagus si
7372,akun toped tdk update ya  alasan nya penuh ,akun toped tdk update ya  alasan nya penuh 
7373,berguna,berguna
7374,Kalo uninstal  cs dll yg gak mutu mendingan toped yg ,Kalo uninstal  cs dll yg gak mutu mendingan toped yg 
7375,mantul,mantul
7376,tkans ya,tkans ya
7377,free ongkir boong potongan ongkir  gak niat menyediakan event,free ongkir boong potongan ongkir  gak niat menyediakan event
7378,mudah²an dibaca tokped  pelayanan bagus tokopedia sebatas sistem aplikasi aja  mitra nya evaluasi   Perihal pesanan kunjung dikirim 3  status proses  Tolong tingkatkan pelayanan nya,mudah²an dibaca tokped  pelayanan bagus tokopedia sebatas sistem aplikasi aja  mitra nya evaluasi   Perihal pesanan kunjung dikirim 3  status proses  Tolong tingkatkan pelayanan nya
7379,beli Market Place hijau gak mengecewakan  puas recommended banget  ,
7380,Transaksi kartu kredit menerus dibatalkan sistem penjelasan ga customer service sulit chat mesin cfs merespon ga call center transaksi puluhan juta disuruh cash merepotkan ,Transaksi kartu kredit menerus dibatalkan sistem penjelasan ga customer service sulit chat mesin cfs merespon ga call center transaksi puluhan juta disuruh cash merepotkan 
7381,Good,Good
7382,Gak sok2 an ngasih promo2 kupon  Kalo direfund gakbisa 100   Alesannya ribu gak direfund karna include kupon bla bla bla  ongkos refundnya  Buruk manajemennya,Kalo direfund gakbisa 100  
7383,agen toko  Dropship  Yg berjualan barang ready  Orderan batalkan barang kosong  dichat bilang ready  Buang2,Dropship 
7384,dpt diskon 30k,dpt diskon 30k
7385,Order Barang Tanggal 4 April D kirim tanggal 6 April  Hadeuhhh Sumpah Males banget  Saran  GAK PAKE EKSPEDISI JNE  LEMOT LAMAT PENGIRIMAN PELAYANAN ANCUR,Saran  GAK PAKE EKSPEDISI JNE 
7386,goog,goog
7387,Perlahan pindah toko oren ama biru  kagak seru vouchernya ga double  Ngapain cashback kalo ongkirnya mahal dr cashback  hahahahah kacau kacau,Ngapain cashback kalo ongkirnya mahal dr cashback  hahahahah kacau kacau
7388,keren,keren
7389,Tokopedia kebanyak relleser sampah  stok ready pajang  Tolong verikasi toko2 nya jadiin Tokopedia orang2 sampah kaya gitu  Udah pesen cari barang  niat jualan nggak sih  Nggak cancel2 ,Tolong verikasi toko2 nya jadiin Tokopedia orang2 sampah kaya gitu 
7390,Oke,Oke
7391,Turun bintang  udah gk gratis ongkir  Klo potong gratis ongkir minimal belanja ,Turun bintang  udah gk gratis ongkir  Klo potong gratis ongkir minimal belanja 
7392,oke deh ,oke deh 
7393,didownload tdk diinstal  pdhl sdh nyerahin akun  ngabis2 in kuota aja  sangkin butuh nih aplikasi ,didownload tdk diinstal  pdhl sdh nyerahin akun  ngabis2 in kuota aja  sangkin butuh nih aplikasi 
7394,mntap,mntap
7395,josss,josss
7396,Habis update kacau free ongkir    kecewa   ,Habis update kacau free ongkir    kecewa   
